Stock name,Last candle date,Candle pattern detected,Explanation,Suggestion,Plot
CPAY,2024-06-28,CDLHAMMER,Hammer: Bullish reversal.,Buy stock,Results\2024-06-30\CPAY_CDLHAMMER_2024-06-28.png
FDS,2024-06-28,CDLHAMMER,Hammer: Bullish reversal.,Buy stock,Results\2024-06-30\FDS_CDLHAMMER_2024-06-28.png
